id,group,variable,type,value,unit,location,metadata,time,created_at
652d1d8dd2a63a0009c4f21e,1697455501479,gateway_eui,string,0000F8033201A727,,,,2023-10-16 11:25:01.518,2023-10-16 11:25:01.518
652d1d8dd2a63a0009c4f21f,1697455501479,rssi,number,-89,,,,2023-10-16 11:25:01.518,2023-10-16 11:25:01.518
652d1d8dd2a63a0009c4f220,1697455501479,snr,number,-5.2,,,,2023-10-16 11:25:01.518,2023-10-16 11:25:01.519
652d1d8dd2a63a0009c4f221,1697455501479,gateway_location,string,"-27.608081294592182,-48.633736499977516",,"{""type"": ""Point"", ""coordinates"": [-48.633736499977516, -27.608081294592182]}",,2023-10-16 11:25:01.519,2023-10-16 11:25:01.519
652d1d8dd2a63a0009c4f222,1697455501479,frm_payload,string,7b224c756d696e6f736964616465223a33362c2254656d7065726174757261223a32342e32303030303037362c22556d6964616465223a38357d,,,,2023-10-16 11:25:01.519,2023-10-16 11:25:01.519
652d1da5d2a63a0009c4f631,1697455525672,text,string,"{""Luminosidade"":34,""Temperatura"":24.20000076,""Umidade"":85}",,,,2023-10-16 11:25:25.795,2023-10-16 11:25:25.795
652d1da5d2a63a0009c4f632,1697455525672,lora_bandwidth,number,125000,,,,2023-10-16 11:25:25.795,2023-10-16 11:25:25.795
652d1da5d2a63a0009c4f633,1697455525672,lora_spreading_factor,number,7,,,,2023-10-16 11:25:25.795,2023-10-16 11:25:25.795
652d1da5d2a63a0009c4f634,1697455525672,lora_coding_rate,string,4/5,,,,2023-10-16 11:25:25.796,2023-10-16 11:25:25.796
652d1da5d2a63a0009c4f635,1697455525672,frequency,string,917600000,,,,2023-10-16 11:25:25.796,2023-10-16 11:25:25.796
652d1da5d2a63a0009c4f636,1697455525672,timestamp,number,4206972500,,,,2023-10-16 11:25:25.796,2023-10-16 11:25:25.796
652d1da5d2a63a0009c4f637,1697455525672,device_id,string,eui-50f8a500000103e3,,,,2023-10-16 11:25:25.797,2023-10-16 11:25:25.797
652d1da5d2a63a0009c4f638,1697455525672,application_id,string,iot-csf-ifsc,,,,2023-10-16 11:25:25.797,2023-10-16 11:25:25.797
652d1da5d2a63a0009c4f639,1697455525672,fport,number,1,,,,2023-10-16 11:25:25.797,2023-10-16 11:25:25.797
652d1da5d2a63a0009c4f63a,1697455525672,fcnt,number,161,,,,2023-10-16 11:25:25.798,2023-10-16 11:25:25.798
652d1da5d2a63a0009c4f63b,1697455525672,gateway_eui,string,0000F8033201A727,,,,2023-10-16 11:25:25.798,2023-10-16 11:25:25.798
652d1da5d2a63a0009c4f63c,1697455525672,rssi,number,-93,,,,2023-10-16 11:25:25.798,2023-10-16 11:25:25.798
652d1da5d2a63a0009c4f63d,1697455525672,snr,number,10.2,,,,2023-10-16 11:25:25.799,2023-10-16 11:25:25.799
652d1da5d2a63a0009c4f63e,1697455525672,gateway_location,string,"-27.608081294592182,-48.633736499977516",,"{""type"": ""Point"", ""coordinates"": [-48.633736499977516, -27.608081294592182]}",,2023-10-16 11:25:25.799,2023-10-16 11:25:25.799
652d1da5d2a63a0009c4f63f,1697455525672,frm_payload,string,7b224c756d696e6f736964616465223a33342c2254656d7065726174757261223a32342e32303030303037362c22556d6964616465223a38357d,,,,2023-10-16 11:25:25.799,2023-10-16 11:25:25.799
652d1db602774a00097cf3c7,1697455542681,text,string,"{""Luminosidade"":36,""Temperatura"":24.20000076,""Umidade"":86}",,,,2023-10-16 11:25:42.723,2023-10-16 11:25:42.723
652d1db602774a00097cf3c8,1697455542681,lora_bandwidth,number,125000,,,,2023-10-16 11:25:42.724,2023-10-16 11:25:42.724
652d1db602774a00097cf3c9,1697455542681,lora_spreading_factor,number,7,,,,2023-10-16 11:25:42.724,2023-10-16 11:25:42.724
652d1db602774a00097cf3ca,1697455542681,lora_coding_rate,string,4/5,,,,2023-10-16 11:25:42.724,2023-10-16 11:25:42.724
652d1db602774a00097cf3cb,1697455542681,frequency,string,917400000,,,,2023-10-16 11:25:42.724,2023-10-16 11:25:42.725
652d1db602774a00097cf3cc,1697455542681,timestamp,number,4224003620,,,,2023-10-16 11:25:42.725,2023-10-16 11:25:42.725
652d1db602774a00097cf3cd,1697455542681,device_id,string,eui-50f8a500000103e3,,,,2023-10-16 11:25:42.725,2023-10-16 11:25:42.725
652d1db602774a00097cf3ce,1697455542681,application_id,string,iot-csf-ifsc,,,,2023-10-16 11:25:42.725,2023-10-16 11:25:42.725
652d1db602774a00097cf3cf,1697455542681,fport,number,1,,,,2023-10-16 11:25:42.726,2023-10-16 11:25:42.726
652d1db602774a00097cf3d0,1697455542681,fcnt,number,162,,,,2023-10-16 11:25:42.726,2023-10-16 11:25:42.726
652d1db602774a00097cf3d1,1697455542681,gateway_eui,string,0000F8033201A727,,,,2023-10-16 11:25:42.726,2023-10-16 11:25:42.726
652d1db602774a00097cf3d2,1697455542681,rssi,number,-91,,,,2023-10-16 11:25:42.726,2023-10-16 11:25:42.726
652d1db602774a00097cf3d3,1697455542681,snr,number,9.5,,,,2023-10-16 11:25:42.727,2023-10-16 11:25:42.727
652d1db602774a00097cf3d4,1697455542681,gateway_location,string,"-27.608081294592182,-48.633736499977516",,"{""type"": ""Point"", ""coordinates"": [-48.633736499977516, -27.608081294592182]}",,2023-10-16 11:25:42.727,2023-10-16 11:25:42.727
652d1db602774a00097cf3d5,1697455542681,frm_payload,string,7b224c756d696e6f736964616465223a33362c2254656d7065726174757261223a32342e32303030303037362c22556d6964616465223a38367d,,,,2023-10-16 11:25:42.727,2023-10-16 11:25:42.727
652d1dd56ae3bb0009506502,1697455573913,text,string,"{""Luminosidade"":32,""Temperatura"":24.20000076,""Umidade"":86}",,,,2023-10-16 11:26:13.959,2023-10-16 11:26:13.959
652d1dd56ae3bb0009506503,1697455573913,lora_bandwidth,number,125000,,,,2023-10-16 11:26:13.96,2023-10-16 11:26:13.96
652d1dd56ae3bb0009506504,1697455573913,lora_spreading_factor,number,7,,,,2023-10-16 11:26:13.96,2023-10-16 11:26:13.96
652d1dd56ae3bb0009506505,1697455573913,lora_coding_rate,string,4/5,,,,2023-10-16 11:26:13.96,2023-10-16 11:26:13.961
652d1dd56ae3bb0009506506,1697455573913,frequency,string,917200000,,,,2023-10-16 11:26:13.961,2023-10-16 11:26:13.961
652d1dd56ae3bb0009506507,1697455573913,timestamp,number,4255195947,,,,2023-10-16 11:26:13.961,2023-10-16 11:26:13.961
652d1dd56ae3bb0009506508,1697455573913,device_id,string,eui-50f8a500000103e3,,,,2023-10-16 11:26:13.961,2023-10-16 11:26:13.961
652d1dd56ae3bb0009506509,1697455573913,application_id,string,iot-csf-ifsc,,,,2023-10-16 11:26:13.962,2023-10-16 11:26:13.962
652d1dd56ae3bb000950650a,1697455573913,fport,number,1,,,,2023-10-16 11:26:13.962,2023-10-16 11:26:13.962
652d1dd56ae3bb000950650b,1697455573913,fcnt,number,163,,,,2023-10-16 11:26:13.962,2023-10-16 11:26:13.962
652d1dd56ae3bb000950650c,1697455573913,gateway_eui,string,0000F8033201A727,,,,2023-10-16 11:26:13.962,2023-10-16 11:26:13.962
652d1dd56ae3bb000950650d,1697455573913,rssi,number,-91,,,,2023-10-16 11:26:13.963,2023-10-16 11:26:13.963
652d1dd56ae3bb000950650e,1697455573913,snr,number,8.5,,,,2023-10-16 11:26:13.963,2023-10-16 11:26:13.963
652d1dd56ae3bb000950650f,1697455573913,gateway_location,string,"-27.608081294592182,-48.633736499977516",,"{""type"": ""Point"", ""coordinates"": [-48.633736499977516, -27.608081294592182]}",,2023-10-16 11:26:13.963,2023-10-16 11:26:13.963
652d1dd56ae3bb0009506510,1697455573913,frm_payload,string,7b224c756d696e6f736964616465223a33322c2254656d7065726174757261223a32342e32303030303037362c22556d6964616465223a38367d,,,,2023-10-16 11:26:13.964,2023-10-16 11:26:13.964
652d1df5cea89e0009d22a17,1697455605081,text,string,"{""Luminosidade"":34,""Temperatura"":24.20000076,""Umidade"":86}",,,,2023-10-16 11:26:45.18,2023-10-16 11:26:45.18
652d1df5cea89e0009d22a18,1697455605081,lora_bandwidth,number,125000,,,,2023-10-16 11:26:45.181,2023-10-16 11:26:45.181
652d1df5cea89e0009d22a19,1697455605081,lora_spreading_factor,number,7,,,,2023-10-16 11:26:45.181,2023-10-16 11:26:45.181
